cluster,gene,score,pvals_adj,logfoldchanges
0,Gm12909,0.0028309291,0.9992149596424428,1.8470844
0,Gm10824,0.0028309291,0.9992149596424428,0.94301194
0,Tcstv3,0.0028309291,0.9992149596424428,1.8493942
0,2310069B03Rik,0.0028309291,0.9992149596424428,1.2564015
0,Olfr710,0.0028309291,0.9992149596424428,1.6702335
0,Tmprss3,0.0028309291,0.9992149596424428,1.0751424
0,Fgf21,0.0028309291,0.9992149596424428,2.1493917
0,Gm7876,0.0028309291,0.9992149596424428,1.0944854
0,5430427N15Rik,0.0028309291,0.9992149596424428,2.1288745
0,Krt14,0.0015614484,0.9993359302583358,1.1962607
0,Gm37800,0.0015614484,0.9993359302583358,1.15593
0,Defb14,0.0015614484,0.9993359302583358,0.7375071
0,Gm48428,0.0015614484,0.9993359302583358,0.804557
0,Chp2,0.0005879083,0.9998025498203845,1.1001912
0,Gm47904,0.0,1.0,0.0
1,Atp8a2,127.01125,0.0,5.7121334
1,Ank1,125.13659,0.0,5.7827916
1,Gm13629,123.65445,0.0,5.7871056
1,Kcna1,122.871315,0.0,5.933072
1,Atp2b2,120.278656,0.0,5.452147
1,Specc1,119.55124,0.0,5.7196665
1,Nova1,118.14901,0.0,5.524975
1,A330102I10Rik,117.907166,0.0,5.6076174
1,Cdk14,117.76125,0.0,5.515189
1,Esrrg,117.23297,0.0,5.991295
1,Prickle1,117.03403,0.0,5.429262
1,Glra1,116.9513,0.0,5.7091355
1,Fstl4,114.97617,0.0,5.849474
1,Myo16,114.427734,0.0,5.6574736
1,Bend6,114.397285,0.0,5.2342086
1,Sfxn5,114.38914,0.0,5.2345667
1,Rbfox3,113.85139,0.0,5.352672
1,Grin1,113.69539,0.0,5.259797
1,Scn1a,113.30597,0.0,5.367848
1,Syn3,113.26872,0.0,5.265332
1,Epha10,113.157715,0.0,5.2560415
1,Scn8a,112.73011,0.0,5.1303544
1,Osbpl6,112.412926,0.0,5.2198853
1,Rhbdl3,112.28211,0.0,5.3843794
1,Luzp1,112.10073,0.0,5.133291
1,Rnf157,112.039406,0.0,5.164932
1,Pacsin1,111.95221,0.0,5.142868
1,Epb41,111.95116,0.0,5.3928795
1,Atp1a3,111.85377,0.0,5.1664076
1,Iqsec3,111.85179,0.0,5.182301
1,Pdzrn4,111.66013,0.0,5.63809
1,Etl4,111.026306,0.0,6.2261796
1,Apbb2,110.815636,0.0,5.1050224
1,Olfm3,110.713356,0.0,5.491137
1,Mtus2,110.69507,0.0,5.374531
1,Bckdhb,110.5355,0.0,5.1094594
1,Atxn1,110.30121,0.0,5.118321
1,Sgpp2,110.281845,0.0,5.478187
1,Nsf,110.248344,0.0,5.127869
1,Fam189a1,110.23414,0.0,5.216981
1,Vsnl1,110.05301,0.0,5.3820696
1,Med12l,109.76966,0.0,5.077922
1,Kcnc1,109.7139,0.0,5.2282677
1,Gm26835,109.20732,0.0,5.104949
1,Prkcb,109.19096,0.0,5.230712
1,Ksr2,108.9878,0.0,5.128704
1,Rapgef4,108.978615,0.0,5.01125
1,Robo1,108.94238,0.0,5.8076487
1,Sh3gl2,108.930374,0.0,5.0322347
1,Vwa5b2,108.86057,0.0,4.9732895
2,Celf2,108.99317,0.0,5.0568056
2,Ebf1,102.62708,0.0,5.517903
2,Kcnc2,102.32754,0.0,4.960598
2,Rbfox3,100.002144,0.0,4.5437636
2,Grin2b,98.73149,0.0,4.435788
2,Ebf3,98.72759,0.0,5.698086
2,Gria1,98.69905,0.0,4.8402104
2,Hs3st5,97.46983,0.0,4.7111316
2,Tenm4,97.37478,0.0,4.7418647
2,Usp29,97.04012,0.0,4.5762205
2,Celf4,95.94173,0.0,4.5703673
2,Cdh8,94.86884,0.0,4.98766
2,Spock1,94.640045,0.0,4.7477007
2,Negr1,93.992004,0.0,4.882317
2,Brinp1,92.831696,0.0,4.1158423
2,Ptprn2,92.754524,0.0,4.504689
2,Asic2,92.42301,0.0,4.968848
2,Gpr158,92.02892,0.0,4.18308
2,Prkcb,91.161964,0.0,4.2184896
2,Nrg3,90.2617,0.0,3.6605935
2,Lrfn5,89.96822,0.0,4.4954634
2,Syt1,89.428276,0.0,4.783806
2,Rasgrf1,88.946205,0.0,4.442477
2,Ntm,88.37995,0.0,5.1618586
2,Car10,88.3285,0.0,4.743158
2,Plppr1,88.196144,0.0,4.358665
2,Grm5,88.185425,0.0,4.6936116
2,Mtus2,88.16013,0.0,4.1893277
2,Mdga2,87.30872,0.0,3.931796
2,Kcnq5,86.366264,0.0,4.6708937
2,Gabrb3,85.95226,0.0,4.4145904
2,Samd12,85.92649,0.0,3.9549894
2,Myt1l,85.20159,0.0,4.2675805
2,Kirrel3,85.103905,0.0,4.759218
2,Tnrc6c,85.01819,0.0,3.619988
2,Ppp3ca,84.84104,0.0,4.042781
2,Auts2,83.9364,0.0,4.2424493
2,Ebf2,83.83257,0.0,6.025802
2,Klhl29,83.69367,0.0,3.7851808
2,Nrg3os,83.12823,0.0,3.8351085
2,Atp8a1,82.949425,0.0,3.6393862
